time,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
0,0.06692949353569322,0.039458496821943835,0.03240130703524542,-0.0015595400430617264,0.06287284666069823
1,0.019736975750743704,-0.01078095343108841,0.15584194220382613,-0.052133342394756005,0.11837360296349574
2,-0.0018391369022259102,-0.044766042774795387,-0.018330933297941457,0.35131792892403146,-0.005502671407146317
3,0.11270517348930596,0.11771729457203785,0.17708629084311384,0.2039167969966531,-0.16364737186305198
4,0.15650237461649352,0.12515537856453027,0.15686723779225908,0.379939147155829,0.2029833749692475
5,0.13539761856907284,0.31922025769753576,0.336830091677641,0.321178195470669,-0.06260503450110705
6,0.20532870690811275,0.5142963435432706,0.4510278771397807,0.48299710602190765,0.17242444312748287
7,0.3470710603846572,0.5792216411331392,0.3671994236839162,0.482454056961778,0.3835634035667147
8,0.1579117104402323,0.2143497857661734,0.050355371152352724,0.596823300762197,0.20474934314185672
9,0.28806100830721393,0.3802488761294562,0.16293704411354928,0.5848920497054864,0.48013429740219504
10,0.19498893510991988,0.6244550131881483,0.19221701678768702,0.49123335019701325,0.1999849832513264
11,0.4192913002749993,0.1423043829531464,0.1896204868163193,0.5625530351522259,-0.041789385729716466
12,0.3719538874965811,0.2642625879927514,-0.227812700103951,0.44957538845803235,0.3236689167887404
13,0.45278904987298757,0.44331604469876074,0.3473992999766419,0.7532436206579736,0.22508582792043672
14,0.40702083005007006,0.7230868125674337,0.3306367578630979,0.8262695059965669,0.37580273716966994
15,0.4006051442498415,0.1434978348877245,0.16643551498918968,0.7590521611415743,0.30866759288418244
16,0.484450878413372,0.7100567675505449,0.09953732736614249,0.7582331146924108,0.5581247056530632
17,0.42533266496178734,0.4264036427359331,0.8254762070967923,0.8729707982087636,0.17519443371712873
18,0.5255330187729975,0.851653840758267,0.13967145374489415,0.9225622495780785,0.4098321021939857
19,0.5077945902045211,0.7886775026391715,0.41078684784314556,1.0407835837089154,0.3276077916214005
20,0.48098150225197256,0.5887097579279329,0.4930362998283669,0.9039219352231265,0.2398091133465254
21,0.5751772880884506,0.8542515369693146,0.7123340321944336,0.9068652831325863,0.4426457700216662
22,0.7465005755041026,0.8138605579497145,0.3633709107363954,1.0167692745313475,0.5797441024888177
23,0.6272083761882522,1.0922785409901792,0.4586609468449958,0.9264829389399968,0.3129408397781678
24,0.6444862530784973,0.8670917794477188,0.46609966602177744,0.9050310681379408,0.6630216018851284
25,0.6792030781068891,1.0336204585725328,0.30997267359976555,0.9132018999168661,0.6425244068519563
26,0.7426412002881224,1.0003265735724771,0.36594793673014037,1.033188593229598,0.752533548768576
27,0.8354587099315686,0.7417506658013919,0.2292661761454281,0.8794967706239305,0.4331203854978517
28,0.9457716932940403,0.6746004840435202,0.48272946889393376,0.9651476350444101,0.42376186043052655
29,0.7269073153655189,0.7729828376232553,0.7163805913464466,0.9564303125169735,0.8331977165392793
30,0.8793046867952801,0.7167296139051,0.5761342184294697,0.8720637487415648,0.43603796788008375
31,0.7727223706139342,0.9295304191858818,0.5531630104640979,0.7885280035071048,0.769897001646697
32,0.6559127141344836,1.2020822317688558,0.6363737660637334,0.9970307619596483,0.7109564883859809
33,0.7980424335873811,1.1904332465745102,0.4111509600557072,0.8748740723464105,0.616425073828416
34,0.862391768297252,1.0229160044185825,1.070973973595295,0.7038929570116488,0.9823831699721572
35,0.7673041120349726,0.8762594076934032,1.4209096460842232,0.6829815864243498,0.9377357358717545
36,1.160526895577087,1.0457288545986159,0.6013017924624375,0.7287460047133865,0.7509077982466007
37,0.794325669497544,1.2881237365826999,0.7335584061633318,0.7947040227672646,0.632900794667785
38,1.0228210265439284,1.0104252610922093,1.2197511192334687,0.7862944724500152,0.7057555819013963
39,0.9123818121725648,0.9548927894471236,0.7278613361035638,0.7014479087295006,0.4569662346342716
40,0.7867273134331145,1.0729410154452677,0.5866182599709324,0.6053600815884641,0.708554876698518
41,0.8812601323863208,1.0091239384947606,0.6787123151432903,0.5178414089292654,0.8498209158130702
42,0.9882257801949005,0.9004304412406771,0.6732667797344575,0.5649955674043727,0.8938402017371936
43,1.1599899380568288,0.8974810954567086,0.9902355995154242,0.2560981454440475,0.7043216746900788
44,1.10664661685957,0.8350904569206602,0.6864839674132721,0.3332521552690083,0.8127143964565187
45,0.954824676164023,1.1548840562947533,1.2017301449555677,0.16012040300481015,1.025892726952034
46,1.156142137755239,0.8052431526564356,0.7881528118936384,0.38175703774822967,0.8926622558516359
47,1.130194683216038,0.8129537841640487,0.7724871486421732,0.3755956657468087,0.8840597494517988
48,1.1530046073794555,0.5341244083737022,0.6510908929342777,-0.0028913165123797546,0.6053515831390739
49,1.0293879646146573,0.8514160657112035,1.0412842212101177,0.11396693082180832,1.1336104059702448
50,0.9606976404996447,0.8010211231667757,0.8899741859732144,-0.006054807327352593,0.9034216240558939
51,1.0503436715503223,0.7748609994764085,0.7291578162059182,0.09619652207301896,0.6781477683811226
52,1.0559263458100059,0.7948725967353519,0.9988020924309858,-0.30416744609832436,0.6299368700632046
53,0.9370167838362384,1.0922292205758382,0.9638050820503604,-0.19135566351322186,0.8997523505818723
54,1.0925941277839168,1.112793549739143,0.8774608883109938,-0.3202798135726014,1.1088917401204617
55,0.9365441147177409,0.6560657273360011,0.566054553804513,-0.2122608436929735,1.1702237175998689
56,0.8662918027006543,0.6233309026074025,0.8880194919014884,-0.360759820169191,1.1778274993167581
